Unnamed: 0,sysEname,time,triggername,is_root
0,SYS_1,2019-06-06 18:30:27,主机node_73 日志中有OutOfMemoryError信息,0
1,SYS_1,2019-06-06 18:30:28,主机node_15 HTTP:http://*************，慢响应（调用耗时超过1000ms）次数：309次（大于阈值：200次）,0
2,SYS_6,2019-06-06 18:30:28,主机node_48 sdd IO使用率持续30分钟大于90%,0
3,SYS_1,2019-06-06 18:30:28,主机node_17 日志中有OutOfMemoryError信息,0
4,SYS_5,2019-06-06 18:30:28,主机node_82 JBOSS 8080端口的连接数大于400,0
5,SYS_4,2019-06-06 18:30:29,主机node_77 ping延迟时间持续3分钟大于100ms,0
6,SYS_4,2019-06-06 18:30:30,主机node_5 **** 请求延时大于5分钟,0
7,SYS_6,2019-06-06 18:30:31,主机node_32 FullGC平均耗时：2118ms（大于阈值：1000ms）,0
8,SYS_7,2019-06-06 18:30:31,主机node_89 url:http://node_89:8080访问失败,0
9,SYS_4,2019-06-06 18:30:32,主机node_34 ping延迟时间持续3分钟大于100ms,0
10,SYS_4,2019-06-06 18:30:32,主机node_72 上I/O等待负载大于50%,0
11,SYS_4,2019-06-06 18:30:32,主机node_81 上I/O等待负载持续15分钟超过10%,0
12,SYS_2,2019-06-06 18:30:32,主机node_45 上CPU Steal Time持续5分钟超过10%,0
13,SYS_4,2019-06-06 18:30:32,主机node_36 ping延迟时间持续3分钟大于100ms,0
14,SYS_3,2019-06-06 18:30:33,主机node_97 网卡eth0 接收流量持续10分钟平均值大于300M,0
15,SYS_7,2019-06-06 18:30:33,"主机node_51 空闲CPU为1.52%,持续15分钟小于10%",0
16,SYS_1,2019-06-06 18:30:34,主机node_83 **** 请求延时大于5分钟,0
17,SYS_2,2019-06-06 18:30:35,主机node_37 日志产生ERROR信息,0
18,SYS_4,2019-06-06 18:30:37,主机node_34 空闲交换空间小于50%,0
19,SYS_4,2019-06-06 18:30:39,主机node_9 sdb IO使用率持续30分钟大于90%,0
20,SYS_4,2019-06-06 18:30:39,主机node_69 上I/O等待负载大于50%,0
21,SYS_4,2019-06-06 18:30:39,主机node_27 日志产生ERROR信息,0
22,SYS_10,2019-06-06 18:30:40,主机node_96 **application 停止运行,0
23,SYS_2,2019-06-06 18:30:40,主机node_7 网卡eth0 接收流量持续10分钟平均值大于300M,0
24,SYS_9,2019-06-06 18:30:40,主机node_75 上CPU Steal Time持续5分钟超过10%,0
25,SYS_9,2019-06-06 18:30:40,主机node_78 上I/O等待负载持续15分钟超过10%,0
26,SYS_5,2019-06-06 18:30:41,主机node_6 url:http://node_6:8080访问失败,0
27,SYS_5,2019-06-06 18:30:43,主机node_85 **** 请求延时大于5分钟,0
