Unnamed: 0,sysEname,time,triggername,is_root
0,SYS_1,2019-06-13 13:13:32,主机node_50 网卡eth0 发送流量持续10分钟平均值大于800M,0
1,SYS_10,2019-06-13 13:13:32,主机node_42 空闲交换空间小于50%,0
2,SYS_3,2019-06-13 13:13:35,主机node_57 sdd IO使用率持续30分钟大于90%,0
3,SYS_1,2019-06-13 13:13:36,主机node_31 空闲交换空间小于50%,0
4,SYS_1,2019-06-13 13:13:40,主机node_73 ping延迟时间持续3分钟大于100ms,0
5,SYS_1,2019-06-13 13:13:42,主机node_50 网卡eth0 发送流量持续10分钟平均值大于800M,0
6,SYS_8,2019-06-13 13:13:43,"主机node_88 空闲CPU为4.37%,持续15分钟小于10%",0
7,SYS_8,2019-06-13 13:13:43,主机node_43 上I/O等待负载大于50%,0
8,SYS_9,2019-06-13 13:13:43,主机node_80 sdd IO使用率持续30分钟大于90%,0
9,SYS_8,2019-06-13 13:13:44,主机node_71 日志报错:无法获取连接,1
10,SYS_3,2019-06-13 13:13:44,主机node_97 Nginx 80端口的连接数大于2000,0
11,SYS_4,2019-06-13 13:13:44,主机node_72 堆内存平均使用率：94.61%（大于阈值：90%）,0
12,SYS_8,2019-06-13 13:13:44,主机node_43 HTTP:http://*************，慢响应（调用耗时超过1000ms）次数：309次（大于阈值：200次）,0
13,SYS_2,2019-06-13 13:13:46,主机node_99 日志产生ERROR信息,0
14,SYS_7,2019-06-13 13:13:48,主机node_51 分区剩余空间小于阀值10%,0
15,SYS_6,2019-06-13 13:13:48,主机node_59 硬盘Slot 00状态为Failed,0
16,SYS_8,2019-06-13 13:13:49,主机node_95 端口80通信异常,0
17,SYS_2,2019-06-13 13:13:50,主机node_55 空闲交换空间小于50%,0
18,SYS_5,2019-06-13 13:13:51,主机node_14 端口80通信异常,0
19,SYS_4,2019-06-13 13:13:51,主机node_77 ping延迟时间持续3分钟大于100ms,0
20,SYS_8,2019-06-13 13:13:53,"主机node_88 空闲CPU为4.37%,持续15分钟小于10%",0
21,SYS_8,2019-06-13 13:13:53,主机node_43 上I/O等待负载大于50%,0
22,SYS_3,2019-06-13 13:13:54,主机node_97 Nginx 80端口的连接数大于2000,0
23,SYS_9,2019-06-13 13:13:55,主机node_22 网卡eth0 接收流量持续10分钟平均值大于180M,0
24,SYS_3,2019-06-13 13:13:56,主机node_3 url:http://node_3:8080访问失败,0
25,SYS_2,2019-06-13 13:13:56,主机node_99 日志产生ERROR信息,0
26,SYS_9,2019-06-13 13:13:56,主机node_12 上I/O等待负载大于50%,0
27,SYS_3,2019-06-13 13:13:57,主机node_94 Nginx 80端口的连接数大于2000,0
28,SYS_2,2019-06-13 13:13:58,主机node_30 JBOSS 8080端口的连接数大于400,0
29,SYS_6,2019-06-13 13:13:58,主机node_59 硬盘Slot 00状态为Failed,0
30,SYS_3,2019-06-13 13:13:59,主机node_20 FullGC次数：32次（大于阈值：10次）,0
31,SYS_10,2019-06-13 13:14:00,主机node_11 日志中有No route to host信息,0
32,SYS_1,2019-06-13 13:14:00,主机node_0 **** 请求延时大于5分钟,0
33,SYS_2,2019-06-13 13:14:00,主机node_7 日志中有OutOfMemoryError信息,0
