Unnamed: 0,sysEname,time,triggername,is_root
0,SYS_2,2019-06-15 05:04:13,主机node_70 网卡eth0 接收流量持续10分钟平均值大于180M,0
1,SYS_1,2019-06-15 05:04:14,主机node_93 Nginx 80端口的连接数大于2000,0
2,SYS_10,2019-06-15 05:04:15,主机node_29 网卡eth0 接收流量持续10分钟平均值大于180M,0
3,SYS_6,2019-06-15 05:04:15,主机node_32 网卡eth0 发送流量持续30分钟平均值大于700M,0
4,SYS_8,2019-06-15 05:04:16,主机node_41 url:http://node_41:8080访问失败,0
5,SYS_10,2019-06-15 05:04:16,主机node_42 日志中有OutOfMemoryError信息,0
6,SYS_5,2019-06-15 05:04:18,主机node_6 上I/O等待负载持续15分钟超过10%,0
7,SYS_5,2019-06-15 05:04:18,主机node_74 端口80通信异常,0
8,SYS_6,2019-06-15 05:04:19,主机node_59 日志中有No route to host信息,0
9,SYS_6,2019-06-15 05:04:20,主机node_67 FullGC次数：23次（大于阈值：10次）,0
10,SYS_6,2019-06-15 05:04:21,主机node_56 HTTP:http://*************，慢响应（调用耗时超过1000ms）次数：309次（大于阈值：200次）,0
11,SYS_10,2019-06-15 05:04:22,主机node_40 上I/O等待负载持续15分钟超过10%,0
12,SYS_9,2019-06-15 05:04:23,主机node_68 网卡eth0 发送流量持续30分钟平均值大于700M,0
13,SYS_5,2019-06-15 05:04:25,主机node_85 网卡eth0 接收流量持续10分钟平均值大于300M,0
14,SYS_1,2019-06-15 05:04:26,主机node_73 网卡eth0 接收流量持续10分钟平均值大于180M,0
15,SYS_6,2019-06-15 05:04:26,主机node_48 日志报错:无法获取连接,0
16,SYS_5,2019-06-15 05:04:28,主机node_6 上I/O等待负载持续15分钟超过10%,0
17,SYS_8,2019-06-15 05:04:29,主机node_49 端口6060通信异常,0
18,SYS_10,2019-06-15 05:04:29,主机node_96 JBOSS 8080端口的连接数大于400,0
19,SYS_4,2019-06-15 05:04:29,"主机node_62 空闲CPU为1.52%,持续15分钟小于10%",0
20,SYS_9,2019-06-15 05:04:30,主机node_12 ping延迟时间持续3分钟大于100ms,0
21,SYS_7,2019-06-15 05:04:32,主机node_24 JBOSS 8080端口的连接数大于400,0
22,SYS_6,2019-06-15 05:04:33,主机node_25 sdd IO使用率持续30分钟大于90%,0
23,SYS_9,2019-06-15 05:04:33,主机node_68 网卡eth0 发送流量持续30分钟平均值大于700M,0
24,SYS_7,2019-06-15 05:04:34,主机node_63 网卡eth0 接收流量持续10分钟平均值大于180M,0
25,SYS_5,2019-06-15 05:04:38,主机node_74 端口80通信异常,0
26,SYS_10,2019-06-15 05:04:38,主机node_64 上CPU Steal Time持续5分钟超过10%,0
27,SYS_10,2019-06-15 05:04:38,主机node_29 上I/O等待负载大于50%,0
28,SYS_10,2019-06-15 05:04:38,主机node_96 上I/O等待负载大于50%,0
29,SYS_6,2019-06-15 05:04:42,主机node_46 日志中有No route to host信息,0
30,SYS_10,2019-06-15 05:04:43,"主机node_90 空闲CPU为0.1%,持续15分钟小于10%",0
31,SYS_10,2019-06-15 05:04:43,"主机node_11 空闲CPU为0.1%,持续15分钟小于10%",0
32,SYS_10,2019-06-15 05:04:43,主机node_42 上I/O等待负载大于50%,0
33,SYS_8,2019-06-15 05:04:45,主机node_88 上I/O等待负载持续15分钟超过10%,0
34,SYS_5,2019-06-15 05:04:45,主机node_85 网卡eth0 接收流量持续10分钟平均值大于300M,0
35,SYS_8,2019-06-15 05:04:46,主机node_41 url:http://node_41:8080访问失败,0
36,SYS_10,2019-06-15 05:04:48,主机node_96 上I/O等待负载大于50%,0
37,SYS_10,2019-06-15 05:04:48,主机node_29 上I/O等待负载大于50%,0
38,SYS_10,2019-06-15 05:04:48,主机node_64 上CPU Steal Time持续5分钟超过10%,0
39,SYS_5,2019-06-15 05:04:52,主机node_26 网卡eth0 发送流量持续30分钟平均值大于700M,0
40,SYS_1,2019-06-15 05:04:54,主机node_93 Nginx 80端口的连接数大于2000,0
41,SYS_4,2019-06-15 05:04:56,主机node_77 ping延迟时间持续3分钟大于100ms,0
42,SYS_10,2019-06-15 05:04:58,主机node_29 上I/O等待负载大于50%,0
43,SYS_10,2019-06-15 05:04:58,主机node_64 上CPU Steal Time持续5分钟超过10%,0
44,SYS_10,2019-06-15 05:04:58,主机node_96 上I/O等待负载大于50%,0
45,SYS_10,2019-06-15 05:04:59,主机node_96 JBOSS 8080端口的连接数大于400,0
46,SYS_10,2019-06-15 05:05:00,主机node_40 端口8080通信异常,1
47,SYS_7,2019-06-15 05:05:04,主机node_63 网卡eth0 接收流量持续10分钟平均值大于180M,0
48,SYS_1,2019-06-15 05:05:04,主机node_93 Nginx 80端口的连接数大于2000,0
49,SYS_2,2019-06-15 05:05:05,主机node_30 **application 停止运行,0
50,SYS_4,2019-06-15 05:05:05,主机node_81 日志产生ERROR信息,0
51,SYS_5,2019-06-15 05:05:06,主机node_14 日志产生ERROR信息,0
52,SYS_4,2019-06-15 05:05:06,主机node_77 ping延迟时间持续3分钟大于100ms,0
53,SYS_10,2019-06-15 05:05:08,主机node_96 上I/O等待负载大于50%,0
54,SYS_5,2019-06-15 05:05:08,主机node_74 端口80通信异常,0
55,SYS_10,2019-06-15 05:05:08,主机node_29 上I/O等待负载大于50%,0
56,SYS_10,2019-06-15 05:05:08,主机node_64 上CPU Steal Time持续5分钟超过10%,0
57,SYS_6,2019-06-15 05:05:10,主机node_67 FullGC次数：23次（大于阈值：10次）,0
58,SYS_3,2019-06-15 05:05:10,主机node_20 **application 停止运行,0
59,SYS_10,2019-06-15 05:05:15,主机node_64 端口80通信异常,0
60,SYS_4,2019-06-15 05:05:15,主机node_81 日志产生ERROR信息,0
61,SYS_4,2019-06-15 05:05:16,主机node_77 ping延迟时间持续3分钟大于100ms,0
62,SYS_3,2019-06-15 05:05:18,主机node_57 日志产生ERROR信息,0
63,SYS_5,2019-06-15 05:05:18,主机node_74 端口80通信异常,0
